source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[genotype]	characteristics[growth condition]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[elution conditions]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	factor value[genotype]	factor value[growth condition]
GID unassigned run 38	Saccharomyces cerevisiae	not applicable	not applicable	2	not applicable	whole organism	not available	not available	not available	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_38	proteomic profiling by mass spectrometry	1	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5% NCE;27% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	23 min gradient 5-35% buffer B	300	1650	not available	not available	not available
GID unassigned run 39	Saccharomyces cerevisiae	not applicable	not applicable	2	not applicable	whole organism	not available	not available	not available	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_39	proteomic profiling by mass spectrometry	1	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5% NCE;27% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	23 min gradient 5-35% buffer B	300	1650	not available	not available	not available
GID unassigned run 40	Saccharomyces cerevisiae	not applicable	not applicable	2	not applicable	whole organism	not available	not available	not available	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_40	proteomic profiling by mass spectrometry	1	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_40.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5% NCE;27% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	23 min gradient 5-35% buffer B	300	1650	not available	not available	not available
GID unassigned run 41	Saccharomyces cerevisiae	not applicable	not applicable	2	not applicable	whole organism	not available	not available	not available	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_41	proteomic profiling by mass spectrometry	1	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_41.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5% NCE;27% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	23 min gradient 5-35% buffer B	300	1650	not available	not available	not available
GID unassigned run 42	Saccharomyces cerevisiae	not applicable	not applicable	2	not applicable	whole organism	not available	not available	not available	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_42	proteomic profiling by mass spectrometry	1	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5% NCE;27% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	23 min gradient 5-35% buffer B	300	1650	not available	not available	not available
GID WT glucose rep3	Saccharomyces cerevisiae	not applicable	not applicable	3	not applicable	whole organism	wild type	YPD	BY4741	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_43	proteomic profiling by mass spectrometry	1	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5% NCE;27% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	23 min gradient 5-35% buffer B	300	1650	not available	wild type	YPD
GID gid4del glucose rep3	Saccharomyces cerevisiae	not applicable	not applicable	3	not applicable	whole organism	GID4::KANMX	YPD	CRLY12	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_44	proteomic profiling by mass spectrometry	1	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5% NCE;27% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	23 min gradient 5-35% buffer B	300	1650	not available	GID4::KANMX	YPD
GID gid2K365A glucose rep3	Saccharomyces cerevisiae	not applicable	not applicable	3	not applicable	whole organism	gid2::3xFLAG-GID2K365A	YPD	CRLY131	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_45	proteomic profiling by mass spectrometry	1	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_45.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5% NCE;27% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	23 min gradient 5-35% buffer B	300	1650	not available	gid2::3xFLAG-GID2K365A	YPD
GID WT ethanol19h rep3	Saccharomyces cerevisiae	not applicable	not applicable	3	not applicable	whole organism	wild type	YPE (2% ethanol) for 19 h	BY4741	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_46	proteomic profiling by mass spectrometry	1	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5% NCE;27% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	23 min gradient 5-35% buffer B	300	1650	not available	wild type	YPE (2% ethanol) for 19 h
GID gid4del ethanol19h rep3	Saccharomyces cerevisiae	not applicable	not applicable	3	not applicable	whole organism	GID4::KANMX	YPE (2% ethanol) for 19 h	CRLY12	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_47	proteomic profiling by mass spectrometry	1	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_47.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5% NCE;27% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	23 min gradient 5-35% buffer B	300	1650	not available	GID4::KANMX	YPE (2% ethanol) for 19 h
GID gid2K365A ethanol19h rep3	Saccharomyces cerevisiae	not applicable	not applicable	3	not applicable	whole organism	gid2::3xFLAG-GID2K365A	YPE (2% ethanol) for 19 h	CRLY131	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_48	proteomic profiling by mass spectrometry	1	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_48.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5% NCE;27% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	23 min gradient 5-35% buffer B	300	1650	not available	gid2::3xFLAG-GID2K365A	YPE (2% ethanol) for 19 h
GID WT recovery30min rep3	Saccharomyces cerevisiae	not applicable	not applicable	3	not applicable	whole organism	wild type	YPE 19 h then YPD glucose recovery for 30 min	BY4741	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_49	proteomic profiling by mass spectrometry	1	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5% NCE;27% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	23 min gradient 5-35% buffer B	300	1650	not available	wild type	YPE 19 h then YPD glucose recovery for 30 min
GID gid4del recovery30min rep3	Saccharomyces cerevisiae	not applicable	not applicable	3	not applicable	whole organism	GID4::KANMX	YPE 19 h then YPD glucose recovery for 30 min	CRLY12	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_50	proteomic profiling by mass spectrometry	1	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5% NCE;27% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	23 min gradient 5-35% buffer B	300	1650	not available	GID4::KANMX	YPE 19 h then YPD glucose recovery for 30 min
GID gid2K365A recovery30min rep3	Saccharomyces cerevisiae	not applicable	not applicable	3	not applicable	whole organism	gid2::3xFLAG-GID2K365A	YPE 19 h then YPD glucose recovery for 30 min	CRLY131	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_51	proteomic profiling by mass spectrometry	1	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_51.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5% NCE;27% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	23 min gradient 5-35% buffer B	300	1650	not available	gid2::3xFLAG-GID2K365A	YPE 19 h then YPD glucose recovery for 30 min
GID WT recovery2h rep3	Saccharomyces cerevisiae	not applicable	not applicable	3	not applicable	whole organism	wild type	YPE 19 h then YPD glucose recovery for 2 h	BY4741	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_52	proteomic profiling by mass spectrometry	1	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_52.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5% NCE;27% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	23 min gradient 5-35% buffer B	300	1650	not available	wild type	YPE 19 h then YPD glucose recovery for 2 h
GID gid4del recovery2h rep3	Saccharomyces cerevisiae	not applicable	not applicable	3	not applicable	whole organism	GID4::KANMX	YPE 19 h then YPD glucose recovery for 2 h	CRLY12	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_53	proteomic profiling by mass spectrometry	1	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5% NCE;27% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	23 min gradient 5-35% buffer B	300	1650	not available	GID4::KANMX	YPE 19 h then YPD glucose recovery for 2 h
GID gid2K365A recovery2h rep3	Saccharomyces cerevisiae	not applicable	not applicable	3	not applicable	whole organism	gid2::3xFLAG-GID2K365A	YPE 19 h then YPD glucose recovery for 2 h	CRLY131	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_54	proteomic profiling by mass spectrometry	1	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_54.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5% NCE;27% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	23 min gradient 5-35% buffer B	300	1650	not available	gid2::3xFLAG-GID2K365A	YPE 19 h then YPD glucose recovery for 2 h
GID unassigned run 55	Saccharomyces cerevisiae	not applicable	not applicable	3	not applicable	whole organism	not available	not available	not available	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_55	proteomic profiling by mass spectrometry	1	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_55.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5% NCE;27% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	23 min gradient 5-35% buffer B	300	1650	not available	not available	not available
GID unassigned run 56	Saccharomyces cerevisiae	not applicable	not applicable	3	not applicable	whole organism	not available	not available	not available	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_56	proteomic profiling by mass spectrometry	1	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_56.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5% NCE;27% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	23 min gradient 5-35% buffer B	300	1650	not available	not available	not available
GID unassigned run 57	Saccharomyces cerevisiae	not applicable	not applicable	3	not applicable	whole organism	not available	not available	not available	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_57	proteomic profiling by mass spectrometry	1	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_57.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5% NCE;27% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	23 min gradient 5-35% buffer B	300	1650	not available	not available	not available
GID unassigned run 58	Saccharomyces cerevisiae	not applicable	not applicable	3	not applicable	whole organism	not available	not available	not available	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_58	proteomic profiling by mass spectrometry	1	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_58.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5% NCE;27% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	23 min gradient 5-35% buffer B	300	1650	not available	not available	not available
GID unassigned run 59	Saccharomyces cerevisiae	not applicable	not applicable	3	not applicable	whole organism	not available	not available	not available	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_59	proteomic profiling by mass spectrometry	1	20180804_QX0_OzKa_SA_yGID_globalproteome_rep1_59.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5% NCE;27% NCE;30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	23 min gradient 5-35% buffer B	300	1650	not available	not available	not available
